sent_to,no. PFDs,no. recipients,no. replies,no. complete responses,no. partial responses,no. overdue responses,no. pending responses
The Leeds and York Partnership NHS Trust,1,1,1,1,0,0,0
The Lift and Escalator Industry Association,1,3,5,0,1,0,0
The Limehouse Practice,1,1,2,1,0,0,0
The Limes Care Home,1,1,1,1,0,0,0
The Limes Sheltered Housing,1,2,2,1,0,0,0
The Manor Clinic Folkestone Kent,1,2,2,1,0,0,0
The Manor House Care Home ,1,1,1,1,0,0,0
The Mayor of London,1,3,0,0,0,1,0
The Medical Centre,1,4,0,0,0,1,0
The Medical and Healthcare Regulatory Authority,1,4,4,1,0,0,0
The Metropolitan Police Service,1,1,1,1,0,0,0
"The Minister for Health and Social Services of Wales, [REDACTED]",1,2,0,0,0,1,0
The Minister of State for Crime Prevention,1,3,1,0,0,1,0
The Moat Surgery,1,1,1,1,0,0,0
The Monkstone House Care Home,1,3,2,0,0,1,0
The Motor Ombudsman,1,3,1,0,1,0,0
The National Counter Terrorism Security Office,1,9,5,0,1,0,0
The City of London Police,1,9,5,0,1,0,0
The City of London,1,18,5,0,1,0,0
The Children’s Trust ,1,1,1,1,0,0,0
Tameside General Hospital NHS Trust,1,1,0,0,0,1,0
Abbotsbury Elderly Persons Home,1,1,0,0,0,0,1
Abbeyfields the Dales Ltd,1,2,2,1,0,0,0
Tanglewood Cloverleaf Care Home,1,1,1,1,0,0,0
Taunton Couthy Hall,1,3,0,0,0,1,0
Taunton Deane District Council,1,1,0,0,0,0,1
Tavistock and Portman NHS Foundation Trust,1,2,2,1,0,0,0
Abbey Wood Lodge Care Home,1,1,0,0,0,1,0
Tees Esk and Wear Valley NHS Mental Health Foundation Trust,1,7,7,1,0,0,0
Abbey Place Nursing Home ,1,1,1,1,0,0,0
Teesside University Hospitals,1,7,0,0,0,1,0
Telecare Services Association,1,6,6,1,0,0,0
Telford and Wrekin Clinical Commission Group,1,4,3,0,1,0,0
Telford and Wrekin Council,1,4,3,0,1,0,0
Templemore Care Home,1,2,0,0,0,1,0
Tendering District Council,1,1,0,0,0,1,0
Terex Global Gmbh,1,1,1,1,0,0,0
Tesco Store PLC,1,1,0,0,0,1,0
Tesco Stores Limited,1,1,1,1,0,0,0
Tettenhall Medical Practice,1,1,1,1,0,0,0
Tameside and Glossop Care NHS Trust,1,2,1,0,0,0,1
Abbotswood,1,2,1,0,0,1,0
Abbey Healthcare  ,1,1,1,1,0,0,0
Tameside Borough Council,1,2,1,0,1,0,0
Able Care and Support Services Ltd,1,1,1,1,0,0,0
Swansea Bay University Health Board ,1,1,1,1,0,0,0
Swansea Council,1,1,1,1,0,0,0
Swinfen Hall,1,3,1,0,0,1,0
Swinhoe Farm,1,2,2,1,0,0,0
Swiss Cottage Special School,1,1,1,1,0,0,0
Sydenham Green Group General Practice,1,4,3,0,0,1,0
SystemOne TPP Ltd,1,2,0,0,0,1,0
TEWV,1,1,0,0,0,0,1
THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST ,1,1,0,0,0,1,0
TLC Nursing and Care,1,1,1,1,0,0,0
TPP,1,5,6,0,1,0,0
TPP Group Limited,1,4,4,1,0,0,0
TPP LTD,1,1,1,1,0,0,0
TRU,1,1,1,1,0,0,0
TUI UK,1,2,2,1,0,0,0
Tadworth Grove Care Home,1,2,0,0,0,1,0
Taff’s Well Medical Centre,1,1,1,1,0,0,0
Takeda UK Ltd,1,3,2,0,0,1,0
Teva UK Ltd,1,1,1,1,0,0,0
Thames Valley Police ,1,1,1,1,0,0,0
The Children’s Guardian,1,7,0,0,0,1,0
The British Heart Foundation,1,3,2,0,1,0,0
The British Obesity and Metabolic Surgery Society,1,1,0,0,0,1,0
The British Orthopaedic Association,1,2,2,1,0,0,0
The British Retail Consortium,1,12,5,0,1,0,0
The British Standards Institute,1,3,1,0,0,1,0
The British Standards Institution,1,8,0,0,0,1,0
The British Thoracic Society,1,4,4,1,0,0,0
The Cambridge Nursing Home Ltd,1,4,2,0,0,1,0
The Canal and River Trust,1,1,1,1,0,0,0
The Caravan Club,1,3,2,0,0,1,0
Abbey Court Independent Hospital,1,1,0,0,0,0,1
The Castle Rock Group,1,2,2,1,0,0,0
The Chartered Society of Forensic Scientists,1,12,5,0,1,0,0
The Chief Executive Cardiff & Vale University Health Board,1,2,1,0,0,1,0
The Chief Executive Security Industry Authority (SIA),1,3,2,0,0,1,0
The Chief Executive Tesco PLC,1,3,2,0,0,1,0
The Chief Executive Total Security Services Limited (TSS),1,3,2,0,0,1,0
The Chief Executive of National Highways,1,1,1,1,0,0,0
The Chief Executive of Powys Teaching Hospital Board,1,1,0,0,0,1,0
The Chief Executive of the Energy and Utilities Skills,1,2,1,0,0,1,0
The British National Formulary,1,2,2,1,0,0,0
The British Hang Gliding and Paragliding Association Ltd,1,1,1,1,0,0,0
Thames Valley and Wessex Operational Delivery Networks,1,1,0,0,0,1,0
The British Association of Urological Surgeons,1,3,3,1,0,0,0
Thameside Prison,1,3,1,0,0,0,1
The 700 Club,1,1,1,1,0,0,0
The AACE,1,5,5,1,0,0,0
The Adventure Company,1,5,1,0,0,1,0
The Agricultural Engineers Association,1,6,4,0,1,0,0
The Alexandra Court Care Home,1,1,1,1,0,0,0
The Associate of Pallet Networks,1,4,0,0,0,1,0
The Association of Ambulance Chief Executive,1,8,2,0,0,1,0
The Association of Conservative Clubs LTD,1,1,0,0,0,1,0
The Association of Independent Tour Operators,1,5,1,0,0,1,0
The Avenues Trust Group,1,1,0,0,0,1,0
The Beaufort Road Surgery,1,1,1,1,0,0,0
The Bexley Medical Group,1,1,1,1,0,0,0
The Black Country Family Practice,1,1,0,0,0,1,0
The Borchardt Medical Centre,1,2,1,0,0,1,0
The Brewery,1,1,0,0,0,0,1
The Brinnington Surgery ,1,1,1,1,0,0,0
The British Agricultural and Garden Machinery Association,1,6,4,0,1,0,0
The British Army,1,2,1,0,0,1,0
Newbury Park Health Centre,1,1,0,0,0,1,0
"Ministry of Justice c/o Government Legal Department, London",1,2,0,0,0,1,0
New Scotland Yard,1,1,0,0,0,1,0
Director of Public Prosecutions,1,2,1,0,0,1,0
Baycroft Care Homes,1,1,0,0,0,0,1
Devon and Cornwall Police Adult Safeguarding Team,1,3,2,0,0,1,0
Difficult Airway Society,1,10,8,0,1,0,0
Digital,1,2,2,1,0,0,0
Digsafe Suction Excavations Limited,1,2,1,0,0,1,0
Dinnington Group Practice,1,2,0,0,0,1,0
Diocese of Westminster,1,2,0,0,0,1,0
Diprobase Bayer Public Limited,1,7,3,0,1,0,0
Director of Housing,1,2,1,0,0,0,1
Directorate South West,1,4,0,0,0,1,0
Beacon Healthcare,1,2,2,1,0,0,0
Dispensing Doctors Association,1,2,0,0,0,1,0
Divine Health Services,1,3,2,0,1,0,0
Dolby Vivisol,1,3,3,1,0,0,0
Doncaster Bassetlaw Teaching Hospital,1,2,0,0,0,1,0
Doncaster Borough Council,1,2,2,1,0,0,0
Doncaster Council,1,1,0,0,0,1,0
Doncaster County Council,1,1,1,1,0,0,0
Doncaster Highways Services,1,1,1,1,0,0,0
Bay Boats Limited,1,10,10,1,0,0,0
Bayer Plc,1,1,2,0,0,0,1
Devon NHS Integrated Care Commission,1,1,1,1,0,0,0
East London Cooperatives Ltd,1,4,0,0,0,1,0
Derbyshire Community Health Services,1,2,0,0,0,1,0
Department of State for Social Care,1,2,2,1,0,0,0
Bedford General Hospital,1,4,3,0,1,0,0
Departmet for Housing Communities and Local Government,1,2,1,0,1,0,0
"Departmet for Housing, Communities and Local Government",1,2,0,0,0,1,0
Depaul UK,1,1,1,1,0,0,0
Deputy Director of Patient Safety NHS England,1,4,1,0,0,1,0
Deputy Mayor of Greater Manchester,1,2,2,1,0,0,0
Derby and Burton Hospital,1,3,3,1,0,0,0
Derby and Burton NHS Foundation Trust,1,2,1,1,0,0,0
Derbyshire Community Health Services NHS Foundation Trust,1,5,4,0,1,0,0
Devon Local Medical Committee,1,2,1,0,0,1,0
Beccles Medical Centre ,1,1,1,1,0,0,0
Derbyshire Healthcare NHS Trust,1,1,1,1,0,0,0
Derbyshire NHS Foundation Trust,1,5,5,1,0,0,0
Derwent Students,1,1,1,1,0,0,0
Beatson Clark,1,1,0,0,0,1,0
Devon Highways,1,1,1,1,0,0,0
Devon ICB,1,4,4,1,0,0,0
Devon Integrated Care Board,1,4,3,0,1,0,0
Devon Local Medical Centre,1,5,4,0,0,0,1
Doncaster Royal Infirmary ,1,1,0,0,0,1,0
Bausch & Lomb UK Ltd,1,12,9,0,1,0,0
Donneybrook Medical Centre,1,2,2,1,0,0,0
EURO-EKO,1,3,1,0,0,1,0
Basildon Road Surgery,1,2,1,0,1,0,0
Durham Police,1,1,0,0,0,0,1
EAM Care Group,1,1,1,1,0,0,0
EEAST,1,4,3,0,1,0,0
EFAS,1,3,1,0,0,1,0
EKO-INVEST,1,3,1,0,0,1,0
Basildon Hospital Trust,1,1,0,0,0,1,0
ENT,1,2,1,0,0,1,0
ERYC Highways Department ,1,1,1,1,0,0,0
Each Step Nursing Home,1,1,1,1,0,0,0
Bath and North East Somerset Clinical Commissioning Group,1,3,0,0,0,1,0
East Anglia Team,1,4,0,0,0,1,0
East Cheshire NHS Trust,1,2,0,0,0,0,1
East Kent Hospital Foundation Trust,1,1,0,0,0,1,0
Basildon Hospital NHS Trust,1,1,1,1,0,0,0
East Kent Hospitals NHS Trust ,1,1,1,1,0,0,0
East Kent University Hospital NHS Trust,1,2,2,1,0,0,0
East Kent University Hospitals Foundation Trust,1,2,2,1,0,0,0
Basildon Hospital (Mid & South Essex NHS Trust),1,2,0,0,0,0,1
East Lancashire Hospitals Trust,1,1,1,1,0,0,0
Dulwich Dive Club,1,2,2,1,0,0,0
Dudley and Walsall Mental Health NHS Trust,1,2,1,0,0,1,0
Dudley Integrated Health and Care NHS Trust,1,2,2,1,0,0,0
"Drug, Alcohol Action Team Cornwall Council",1,3,1,0,0,1,0
Dorset Council Highways Department,1,1,1,1,0,0,0
Dorset County Hospital,1,1,1,1,0,0,0
Dorset County Hospital NHS Foundation Trust,1,1,2,0,0,1,0
Dorset Health Care University,1,3,1,0,1,0,0
Dorset Health Care University NHS Foundation Trust,1,2,1,0,0,1,0
Dorset Healthcare University Hospital NHS Trust,1,1,1,1,0,0,0
Bateman Engineering Ltd,1,2,2,1,0,0,0
Dorset Highways Management,1,1,1,1,0,0,0
Dorset University NHS Trust,1,1,0,0,0,0,1
Dovecote Lodge,1,1,0,0,0,1,0
Downham Grange Care Home,1,1,1,1,0,0,0
Downshaw Lodge,1,2,2,1,0,0,0
Drager,1,2,2,1,0,0,0
Drayton Manor Theme Park,1,2,0,0,0,1,0
Driver Vehicle Standards Agency,1,3,2,0,1,0,0
Basildon and Thurrock University Hospital Trust,1,1,0,0,0,1,0
Basildon and Brentwood Clinical Commissioning Group,1,2,0,0,0,1,0
Driving Standards Agency,1,6,4,0,1,0,0
Drug and Alcohol Team Devon,1,2,0,0,0,1,0
"Department of Housing, Community and Local Government",1,3,5,0,0,1,0
"Department of Health, NHS England",1,3,3,1,0,0,0
"Department of Health and Social Care, Home Office",1,4,1,0,0,1,0
Curaleaf Clinic,1,1,0,0,0,0,1
Cumberland Council Adult Social Care,1,1,1,1,0,0,0
Cumbria Clinical Commissioning Group,1,5,1,0,0,1,0
Belong Village,1,2,2,1,0,0,0
Cumbria County Council (Highways Department),1,1,2,0,0,1,0
Cumbria County Council  ,1,1,4,0,0,1,0
Cumbria Health Limited,1,4,4,1,0,0,0
Cumbria Northumberland Tyne & Wear NHS Trust,1,2,0,0,0,0,1
Belle Green Court Care Home,1,1,1,1,0,0,0
"Cumbria, Northumberland, Tyne & Wear NHS Trust",1,3,0,0,0,1,0
Curo Care Delahey’s,1,2,0,0,0,0,1
DVLA,1,4,3,0,1,0,0
Belgravia Care Home Ltd,1,1,1,1,0,0,0
Cwm Taf Morgannwg University Health Board ,1,1,1,1,0,0,0
Beeston Health Centre,1,1,0,0,0,1,0
Cwm Taff University Hospital Health Board,1,1,1,1,0,0,0
Cwn Taf Morgannwg University Health Board,1,2,1,0,1,0,0
Cygnet Hospital,1,3,3,1,0,0,0
Cyngor Gwynedd Council Landowner,1,3,3,1,0,0,0
DAF Trucks Ltd,1,4,4,1,0,0,0
DD Dodds and Son Ltd,1,2,1,0,0,1,0
Cumberland Council,1,1,1,1,0,0,0
Cuerden care Homes,1,1,0,0,0,1,0
Crystal Care Limited,1,2,1,0,0,1,0
Cruise and Maritime Services International Limited,1,3,2,0,0,1,0
Coxbench Hall Residential Home,1,1,1,1,0,0,0
Crawley Borough Council,1,2,1,0,1,0,0
Creative Support Limited,1,1,0,0,0,0,1
Credenhill Court Rest Home,1,1,1,1,0,0,0
Crescent Pharma Ltd,1,6,1,0,0,1,0
Cricket Green Medical Practice,1,3,3,1,0,0,0
"Crime, Policing and Fire Service",1,3,2,0,1,0,0
Crisis Resolution Team,1,3,2,0,0,1,0
Croft House Rest Home,1,3,0,0,0,1,0
Crossroads House Care Home,1,1,1,1,0,0,0
Crown Care,1,1,0,0,0,1,0
Crown Commercial Services,1,2,0,0,0,1,0
Crown Prosecution Service,1,10,4,0,1,0,0
Croydon Clinical Commissioning Group,1,3,3,1,0,0,0
Croydon County Council,1,4,0,0,0,1,0
Croydon Health Service,1,3,3,1,0,0,0
Croydon Health Services NHS Trust,1,1,1,1,0,0,0
Croydon University Hospital,1,6,0,0,0,1,0
Croydon University Hospital and NHS Trust,1,1,0,0,0,1,0
DHL Supply Chain UKI,1,1,1,1,0,0,0
DVSA,1,1,0,0,0,1,0
Bedford Hospital,1,1,0,0,0,1,0
"Department for Foreign, Commonwealth and Development Affairs",1,1,1,1,0,0,0
"Department for Business, Innovation and Skills",1,12,5,0,1,0,0
Department for Community and Local Government,1,5,2,0,0,1,0
"Department for Culture, Media and Sport",1,20,22,0,1,0,0
Beechdale Medical Group,1,1,0,0,0,1,0
Beech Cliffe Grange Care Homes,1,1,1,1,0,0,0
"Department for Digital Culture, Media and Sport",1,4,0,0,0,1,0
"Department for Digital, Culture, Media & Sport",1,5,5,1,0,0,0
Bedfordshire Police Constabulary,1,2,1,0,0,0,1
Department for Energy and Climate Change,1,9,0,0,0,1,0
Department for Housing,1,2,2,1,0,0,0
DW Fitness First,1,2,0,0,0,1,0
"Department for Housing, Communities and Local Government",1,7,0,0,0,1,0
Department for Local Government,1,3,3,1,0,0,0
"Department for Science, Innovation and Technology",1,4,0,0,0,1,0
Bedford Hospitals NHS Foundation Trust ,1,1,1,1,0,0,0
Department for Transport    ,1,1,1,1,0,0,0
Department for Women’s Health and Metal Health,1,3,0,0,0,0,1
"Department for the Environment, Food and Rural Affairs",1,4,2,0,0,1,0
"Department of Business, Energy and Industrial Strategy",1,2,1,0,0,1,0
"Department of Environment, Food and Rural Affairs",1,2,2,1,0,0,0
"Department for Business, Energy and Industrial Strategy",1,1,1,1,0,0,0
Beechdene Residential Home,1,3,1,0,0,1,0
Department for Business and Energy and Industrial Strategy,1,3,0,0,0,0,1
Beechwood Lodge Care Home,1,1,1,1,0,0,0
Dairy Lane Care Centre,1,1,0,0,0,1,0
Dalton Surgery,1,3,4,0,1,0,0
Darlington Borough Council,1,1,0,0,0,0,1
Darlington Cattle Mart,1,1,0,0,0,1,0
Darlington Memorial Hospital,1,1,0,0,0,1,0
Darnell Grange Nursing Home  ,1,1,1,1,0,0,0
Darwin medical Practice,1,3,3,1,0,0,0
Daryel Care,1,3,3,1,0,0,0
David Ake & Co Solicitors,1,1,1,1,0,0,0
Davyhulme Medical Centre,1,2,2,1,0,0,0
Daynight Pharmacy,1,4,3,0,1,0,0
Dearne Valley Group Practice ,1,1,1,1,0,0,0
Decathlon UK,1,4,2,0,1,0,0
Deerlands Residential Home,1,1,1,1,0,0,0
Delamere Medical Practice,1,1,1,1,0,0,0
Deliveroo,1,4,4,1,0,0,0
Denbigshire County Council,1,1,1,1,0,0,0
Dennis Eagle Ltd,1,1,1,1,0,0,0
Denton Medical Centre,1,1,0,0,0,0,1
East Lancashire Teaching Hospitals,1,1,1,1,0,0,0
Basildon Car Park Management,1,2,2,1,0,0,0
Covid-19 Pandemic Response Service,1,2,1,0,0,1,0
Barnet Council,1,1,1,1,0,0,0
Four Seasons Health Care,1,3,1,0,1,0,0
Four Season’s Healthcare Home,1,5,0,0,0,1,0
Foxhound Association,1,2,1,0,0,1,0
Free the Way,1,1,1,1,0,0,0
Fremantle Trust,1,1,0,0,0,1,0
Fremington Medical Centre,1,5,4,0,0,0,1
Fresh Student Living,1,2,2,1,0,0,0
Friendship Care and Housing Limited,1,1,0,0,0,1,0
Frimley Health NHS Foundation Trust ,1,1,1,1,0,0,0
Frome Nursing Home,1,1,0,0,0,1,0
Forestry Commission,1,3,3,1,0,0,0
Future Care & Social Care Association,1,3,2,0,1,0,0
G45,1,3,2,0,0,1,0
G4S Care & Justice Services UK Ltd,1,2,1,0,1,0,0
G4S Forensic and Medical Services Ltd,1,4,1,0,0,1,0
G4S Medical Services,1,4,4,1,0,0,0
GE Healthcare,1,2,2,1,0,0,0
GEO Group UK Ltd,1,5,1,0,1,0,0
GMC Fitness to Practise Team,1,1,0,0,0,1,0
GP,1,4,2,0,1,0,0
Fountain Medical Centre,1,4,1,0,0,1,0
"Foreign, Commonwealth and Development Office",1,4,3,0,1,0,0
Barts and Whipps Trust,1,1,1,1,0,0,0
Fisher and Paykel,1,5,3,0,0,0,1
Financial Conduct Authority,1,7,2,0,1,0,0
Finchale Abbey Farm,1,2,1,0,1,0,0
Fire Officers Association,1,3,3,1,0,0,0
First Aid Cover Limited,1,3,0,0,0,1,0
First Class Care,1,1,1,1,0,0,0
First Essex Buses,1,1,1,1,0,0,0
First Mainline,1,1,1,1,0,0,0
First Port Retirement Property Services Limited,1,1,1,1,0,0,0
First Response Group,1,2,1,0,1,0,0
Fitzalan Medical Group,1,2,1,0,0,1,0
"Foreign, Commonwealth & Development Office",1,1,0,0,0,1,0
Fixodent,1,2,2,1,0,0,0
Flintshire County Council,1,5,1,0,0,1,0
Flixton Road Medical Centre,1,2,2,1,0,0,0
Floron Residential Home,1,2,0,0,0,1,0
Fold Nightclub,1,1,0,0,0,1,0
Barnet and Chase Farm Hospitals NHS Trust,1,2,2,1,0,0,0
Food and Drink Federation,1,8,8,1,0,0,0
Ford UK,1,2,2,1,0,0,0
Foreign Office,1,1,1,1,0,0,0
GP Practice Orchard Surgery,1,4,0,0,0,1,0
GP Surgery Parkway Health Centre,1,1,0,0,0,1,0
GRS Recovery,1,1,1,1,0,0,0
Granddwell Estates,1,1,0,0,0,1,0
Goals Soccer Centres PLC,1,2,1,0,0,1,0
Godfrey Care,1,3,3,1,0,0,0
Good Hope Hospital,1,1,1,1,0,0,0
Goodmayes Hospital,1,2,1,0,0,1,0
Goodmayes Hospital Foundation Trust,1,1,0,0,0,1,0
Goodmayes Hospital NHS Trust,1,1,0,0,0,0,1
Google UK & Ireland,1,1,1,1,0,0,0
Governor HMP Hewell,1,2,1,0,0,1,0
Govia Thameslink Railway Ltd,1,2,2,1,0,0,0
Grange Care Home,1,1,0,0,0,1,0
GS Halls Limited,1,9,0,0,0,1,0
Grange Clinic,1,2,1,0,0,1,0
Grasmere Surgery,1,2,2,1,0,0,0
Grassy Meadow Care Centre,1,1,1,1,0,0,0
Gravesham Borough Council,1,1,1,1,0,0,0
Gray’s Inn Road Medical Centre,1,2,2,1,0,0,0
Great Ormond Street Hospital NHS Trust,1,1,1,1,0,0,0
"Barking, Havering & Redbridge NHS Trust",1,2,2,1,0,0,0
Great Western Railway,1,1,1,1,0,0,0
Barking Havering and Redbridge NHS Trust,1,3,3,1,0,0,0
Gloucestershire Social Services,1,2,1,0,0,1,0
Gloucestershire Police,1,6,2,0,1,0,0
Gloucestershire Constabulary,1,1,1,1,0,0,0
Gloucestershire Clinical Group,1,2,0,0,0,1,0
Gambling Commission,1,3,3,1,0,0,0
Garage Equipment Association,1,8,2,0,0,1,0
Gas Safe Network,1,4,2,0,0,1,0
Gateshead Council,1,1,1,1,0,0,0
Gateshead Council ,1,1,1,1,0,0,0
Gateshead Health Foundation Trust,1,1,0,0,0,1,0
Gateshead Health NHS Trust,1,1,0,0,0,1,0
Gender Identity Clinic,1,4,4,1,0,0,0
General Council,1,1,1,1,0,0,0
"Barking, Havering and Redbridge NHS Trust",1,2,2,1,0,0,0
General Optical Council,1,1,1,1,0,0,0
"Barking, Havering and Redbridge NHS Foundation Trust",1,2,2,1,0,0,0
Glan Clwyd Hospital,1,1,1,1,0,0,0
Glangwili General Hospital,1,2,0,0,0,1,0
Glebelands Care Team,1,1,0,0,0,1,0
Glenholme Holdingham Grange Care Home,1,1,1,1,0,0,0
Glenroyd Medical Practice,1,2,0,0,0,1,0
Globe Court Care Home,1,1,1,1,0,0,0
Gloucestershire Clinical Commissioning Group,1,2,0,0,0,1,0
Festival Republic,1,5,5,1,0,0,0
Festimed,1,1,1,1,0,0,0
Fernlea Nursing Home,1,3,3,1,0,0,0
Elvy Court Nursing Home,1,2,1,0,1,0,0
Egton Medical Information Systems Limited,1,4,4,1,0,0,0
Eldercare,1,5,2,0,0,1,0
Electricity Networks Association,1,1,0,0,0,1,0
Elizabeth House (Oldham) Limited,1,1,0,0,0,0,1
Elm Tree Court Care Home,1,2,1,0,1,0,0
Elmbridge Borough Council,1,1,0,0,0,1,0
Elmbridge and Ewell Borough Council,1,3,0,0,0,1,0
Eltham Palace Surgery,1,1,1,1,0,0,0
Eltham Park Surgery,1,1,0,0,0,1,0
Elysium Healthcare,1,2,2,1,0,0,0
Enfield Clinical Commissioning Group,1,12,9,0,1,0,0
Elysium Healthcare ,1,1,1,1,0,0,0
Emergency Call Prioritisation Advisory Group (ECPAG),1,3,1,0,0,1,0
Emergency Operation Centre Norwich,1,2,0,0,0,1,0
"Emergency Preparedness, Resilience and Response",1,3,1,0,0,0,1
Emirates Airlines,1,4,2,0,0,1,0
Emral House Nursery Home,1,1,0,0,0,1,0
Emsworth Surgery,1,1,1,1,0,0,0
Endless Street Surgery,1,2,2,1,0,0,0
Energy Institute,1,4,2,0,1,0,0
Egton Medical Information Systems,1,1,0,0,0,1,0
Egg London Nightclub,1,1,0,0,0,1,0
Edgware Community Hospital,1,1,0,0,0,1,0
Edgeley Medical Centre,1,1,1,1,0,0,0
East London NHS Foundation Trust ,1,1,1,1,0,0,0
Barts and London School of Medicine and Dentistry,1,2,0,0,0,1,0
Barts Hospital NHS Trust,1,1,0,0,0,0,1
East Midlands Local Education and Training Board,1,2,0,0,0,1,0
East Riding Council,1,3,1,0,1,0,0
East Staffordshire Borough Council,1,1,1,1,0,0,0
East Suffolk & North Essex NHS Trust,1,1,0,0,0,0,1
East Suffolk Council,1,1,1,1,0,0,0
Barts Health Trust,1,1,1,1,0,0,0
East Surrey Hospital Trust,1,1,0,0,0,1,0
East Sussex Health Care NHS Trust,1,2,1,0,0,1,0
East of England Ambulance NHS Trust ,1,1,0,0,0,0,1
Barts Health NHS Foundation Trust ,1,1,1,1,0,0,0
Eastcroft Nursing Home ,1,1,1,1,0,0,0
Eastgate Residential Care Homes,1,1,1,1,0,0,0
Eastleigh Borough Council,1,2,1,0,1,0,0
Eating Disorder Services for Adults,1,6,4,0,1,0,0
Eden Park Surgery,1,1,0,0,0,1,0
Edge Hill Residential Home,1,4,0,0,0,1,0
Energy Networks Association,1,5,4,0,1,0,0
England Boxing,1,2,2,1,0,0,0
Fern House Surgery,1,4,3,0,1,0,0
Faculty of Intensive Care Medicine,1,8,8,1,0,0,0
Evolve Services,1,1,1,1,0,0,0
Excel Care,1,1,0,0,0,1,0
Executives’ Association of Great Britain,1,20,22,0,1,0,0
Exeter Prison,1,1,1,1,0,0,0
Exeter University,1,1,1,1,0,0,0
Exora Medical Limited,1,1,1,1,0,0,0
FA Group,1,1,0,0,0,1,0
FALCON CRANE HIRE LIMITED,1,1,0,0,0,1,0
FCO,1,1,1,1,0,0,0
Fairfield View Care Centre,1,2,1,0,1,0,0
England and Wales Cricket Board,1,20,22,0,1,0,0
Fairlight Nursing Home,1,1,0,0,0,1,0
Family Mosaic,1,3,0,0,0,1,0
Farleys Solicitors LLP,1,5,1,0,0,1,0
Farnham Medical Centre,1,5,0,0,0,1,0
Federation of British Tour Operators,1,1,0,0,0,1,0
Federation of Piling Specialists,1,3,1,0,0,1,0
Fell Runners Association,1,1,0,0,0,1,0
Fentons,1,4,1,0,1,0,0
Fentons Solicitors,1,6,0,0,0,1,0
European Union Aviation Safety Authority,1,2,2,1,0,0,0
European Care group,1,1,1,1,0,0,0
European Care,1,1,0,0,0,1,0
European Aviation Safety Agency,1,4,3,0,1,0,0
English Football League,1,20,22,0,1,0,0
English Heritage,1,5,3,0,1,0,0
English Ice Hockey,1,2,4,0,1,0,0
Environment Agency Headquarters,1,1,0,0,0,1,0
Environmental Services Associations,1,4,4,1,0,0,0
Erewash Borough Council,1,4,5,1,0,0,0
Eschmann Holdings Limited,1,3,1,0,0,1,0
Esher Green Surgery,1,2,2,1,0,0,0
Essex Community Rehabilitation Company,1,3,2,0,1,0,0
Essex County Council ,1,1,1,1,0,0,0
Essex Highways,1,1,0,0,0,1,0
Baron’s Park Nursing Home,1,1,1,1,0,0,0
Barnsley Hospital NHS Trust,1,2,1,0,1,0,0
Essex Partnership University NHS Trust ,1,1,1,1,0,0,0
"Barnet, Enfield and Haringey Mental Health NHS Trust",1,3,1,0,0,1,0
Essex University Partnership Trust,1,2,0,0,0,1,0
Essex University Partnership Trust ,1,1,0,0,0,0,1
Ethelbert’s Children’s Services,1,4,4,1,0,0,0
European Aviation Authority,1,3,3,1,0,0,0
Cowes Week Limited,1,3,1,0,0,0,1
Bendpak Inc,1,8,0,0,0,1,0
Barchester Homes,1,1,1,1,0,0,0
Bute House Surgery,1,1,0,0,0,1,0
Bucher Municipal Ltd,1,2,2,1,0,0,0
Buckingham Council Children’s Services,1,1,1,1,0,0,0
Buckinghamshire Healthcare NHS Trust,1,2,0,0,0,1,0
Bureau Veritas UK Ltd,1,4,1,0,0,1,0
Burton Croft Surgery,1,1,1,1,0,0,0
Burton Hospitals NHS Trust,1,1,0,0,0,1,0
Bury Clinical Commissioning Group,1,1,0,0,0,1,0
Bury Council,1,1,2,1,0,0,0
"Bury, Rochdale & Oldham Clinical Commissioning Groups",1,4,1,0,0,1,0
Byron Hamburgers,1,6,3,0,0,0,1
Brunswick Retirement Village,1,1,0,0,0,1,0
CAMIS,1,3,4,0,1,0,0
CAT,1,2,0,0,0,1,0
CECOPS,1,6,6,1,0,0,0
CGL (Ealing RISE),1,1,1,1,0,0,0
CLS Care Services,1,1,1,1,0,0,0
CMF Limited,1,2,2,1,0,0,0
CNWL,1,2,0,0,0,1,0
CORMAC – Cornwall Council – Highways Department,1,1,1,1,0,0,0
CPTA,1,1,0,0,0,1,0
Bryntirion Surgery,1,5,0,0,0,1,0
Broxtowe Borough Council,1,4,5,1,0,0,0
Bilbrook Medical Centre,1,3,0,0,0,1,0
Broadmoor Hospital,1,1,1,1,0,0,0
British Society of Interventional Radiology,1,2,1,0,0,1,0
British Sub Aqua Association,1,2,1,0,1,0,0
British Sub Aqua Club,1,2,2,1,0,0,0
British Transplant Society,1,5,6,0,1,0,0
British Transplantation Society,1,2,1,0,1,0,0
Birmingham Community Healthcare NHS Foundation Trust,1,1,1,1,0,0,0
British Travel Agents,1,1,1,1,0,0,0
Broadgate General Practice,1,2,1,0,0,1,0
Broadlane View Care Home,1,1,1,1,0,0,0
Bromford Lane Nursing Home,1,1,1,1,0,0,0
Browning Street Surgery,1,2,1,0,1,0,0
Bromley Clinical Commissioning Group,1,2,2,1,0,0,0
Bromley Drug and Alcohol Service,1,2,1,0,1,0,0
Bromley Healthcare,1,4,1,0,0,1,0
